"Date","Price","Open","High","Low"
"May 16, 2019","8856.98","8914.25","8942.91","8838.39"
"May 15, 2019","8915.20","8917.92","8952.49","8876.28"
"May 14, 2019","8918.34","8942.53","8966.56","8892.94"
"May 13, 2019","8942.13","8779.01","8951.17","8771.68"
"May 10, 2019","8775.73","8766.96","8800.89","8728.39"
"May 09, 2019","8767.13","8688.14","8792.54","8685.39"
"May 08, 2019","8687.46","8705.15","8756.49","8676.62"
"May 07, 2019","8705.59","8655.13","8716.07","8650.24"
"May 06, 2019","8661.20","8631.79","8727.89","8631.72"
"May 03, 2019","8614.86","8557.06","8638.24","8544.93"
"May 02, 2019","8556.58","8594.48","8605.73","8526.68"
"May 01, 2019","8598.08","8647.55","8669.17","8573.48"
"Apr 30, 2019","8644.92","8618.62","8661.53","8614.50"
"Apr 29, 2019","8617.67","8655.67","8663.42","8602.64"
"Apr 26, 2019","8655.17","8611.00","8673.58","8595.17"
"Apr 25, 2019","8611.82","8572.84","8651.23","8559.40"
"Apr 24, 2019","8574.79","8557.69","8595.59","8526.57"
"Apr 23, 2019","8558.03","8557.56","8567.88","8511.95"
"Apr 22, 2019","8557.43","8553.23","8591.26","8547.46"
"Apr 19, 2019","8550.44","8553.24","8554.64","8545.34"
"Apr 18, 2019","8556.68","8521.67","8569.42","8506.32"
"Apr 17, 2019","8519.37","8568.77","8575.14","8512.67"
"Apr 16, 2019","8570.75","8638.32","8644.80","8543.23"
"Apr 15, 2019","8639.99","8652.92","8663.41","8603.44"
"Apr 12, 2019","8651.66","8685.39","8700.33","8648.41"
"Apr 11, 2019","8685.57","8784.73","8793.52","8664.33"
"Apr 10, 2019","8784.76","8752.69","8802.92","8738.38"
"Apr 09, 2019","8752.82","8714.69","8768.04","8708.41"
"Apr 08, 2019","8713.86","8678.34","8758.02","8676.33"
"Apr 05, 2019","8678.59","8681.12","8693.78","8629.28"
"Apr 04, 2019","8680.97","8655.92","8694.75","8604.69"
"Apr 03, 2019","8657.14","8690.88","8694.00","8646.99"
"Apr 02, 2019","8692.35","8643.26","8692.55","8635.58"
"Apr 01, 2019","8642.26","8668.06","8705.72","8634.34"
"Mar 29, 2019","8672.98","8697.61","8721.82","8645.33"
"Mar 28, 2019","8695.67","8810.80","8830.17","8682.58"
"Mar 27, 2019","8810.83","8834.41","8868.07","8797.50"
"Mar 26, 2019","8834.64","8867.14","8877.74","8812.72"
"Mar 25, 2019","8869.16","8820.68","8886.12","8805.58"
"Mar 22, 2019","8823.48","8769.16","8829.65","8751.92"
"Mar 21, 2019","8772.40","8787.63","8829.55","8730.83"
"Mar 20, 2019","8786.30","8772.08","8815.67","8692.99"
"Mar 19, 2019","8769.57","8752.60","8801.42","8743.94"
"Mar 18, 2019","8751.74","8739.01","8772.07","8713.88"
"Mar 15, 2019","8737.14","8713.15","8771.12","8700.99"
"Mar 14, 2019","8715.09","8782.72","8791.17","8692.58"
"Mar 13, 2019","8780.58","8730.15","8795.19","8723.77"
"Mar 12, 2019","8730.91","8696.54","8735.83","8684.97"
"Mar 11, 2019","8700.66","8733.86","8738.87","8678.21"
"Mar 08, 2019","8727.30","8634.11","8742.94","8630.33"
"Mar 07, 2019","8633.18","8631.85","8651.78","8597.94"
"Mar 06, 2019","8631.84","8638.96","8671.59","8613.39"
"Mar 05, 2019","8638.05","8629.14","8642.59","8592.04"
"Mar 04, 2019","8630.42","8677.03","8699.99","8601.88"
"Mar 01, 2019","8675.22","8790.62","8808.95","8652.33"
"Feb 28, 2019","8793.24","8825.73","8876.75","8786.42"
"Feb 27, 2019","8826.07","8908.00","8914.83","8806.09"
"Feb 26, 2019","8904.86","8871.23","8913.40","8864.92"
